Player,Batter,Bowler,AllRounder,WicketKeeper,Spinner,Category,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Overs,Mdns,Runs2,Wkts,BBI,Ave3,Econ,SR4,4,5
Kuldeep Yadav (IND),0,0,0,0,1,Spinner,40,39,0,0,0,0,0,0,0,0,0,0,0,143.2,2,971,69,17-May,14.07,6.77,12.4,1,2
B Kumar (IND),0,1,0,0,0,Bowler,87,86,0,0,0,0,0,0,0,0,0,0,0,298.3,10,2079,90,04-May,23.1,6.96,19.9,3,2
JJ Bumrah (IND),0,1,0,0,0,Bowler,70,69,0,0,0,0,0,0,0,0,0,0,0,251.3,12,1579,89,07-Mar,17.74,6.27,16.9,0,0
MA Starc (AUS),0,1,0,0,0,Bowler,65,65,0,0,0,0,0,0,0,0,0,0,0,243,2,1881,79,20-Apr,23.81,7.74,18.4,1,0
PJ Cummins (AUS),0,1,0,0,0,Bowler,57,57,0,0,0,0,0,0,0,0,0,0,0,209,4,1556,66,15-Mar,23.57,7.44,19,0,0
JC Archer (ENG),0,1,0,0,0,Bowler,29,29,0,0,0,0,0,0,0,0,0,0,0,105.4,2,796,35,Apr-33,22.74,7.53,18.1,1,0
CR Woakes (ENG),0,1,0,0,0,Bowler,33,33,0,0,0,0,0,0,0,0,0,0,0,101.5,1,822,31,04-Mar,26.51,8.07,19.7,0,0
AS Joseph (WI),0,1,0,0,0,Bowler,38,37,0,0,0,0,0,0,0,0,0,0,0,140,0,1215,54,May-40,22.5,8.67,15.5,2,1
SS Cottrell (WI),0,1,0,0,0,Bowler,45,44,0,0,0,0,0,0,0,0,0,0,0,153,4,1244,52,28-Apr,23.92,8.13,17.6,1,0
TG Southee (NZ),0,1,0,0,0,Bowler,126,123,0,0,0,0,0,0,0,0,0,0,0,458.5,7,3671,164,18-May,22.38,8,16.7,2,2
TA Boult (NZ),0,1,0,0,0,Bowler,61,61,0,0,0,0,0,0,0,0,0,0,0,231.3,4,1779,83,13-Apr,21.43,7.68,16.7,2,0
